Latitude,Longitude,Sample Date,collection,diff_days,l_ndmi,l_ndvi,l_nir,l_swir16,l_swir22,pixels_water,platform,w_blue,w_clorofila,w_coastal,w_green,w_lwir11,w_mndwi,w_red,w_turbid_ndti
-30.679722,26.7125,16-06-2011,,,,,,,,,,,,,,,,,
-28.760833,17.730278,19-06-2011,L2,9.0,-0.061610314051420104,0.08604163099230236,0.009657227281261737,0.03265584749342847,0.021351328623732638,1892.0,landsat-7,0.047863197674418594,1.564639798114696,,0.07346238372093022,17.337319218224124,0.23202855313102716,0.09189664244186047,0.08406837401964892
-27.602222,29.942778,20-06-2011,,,,,,,,,,,,,,,,,
-28.883333,27.89,20-06-2011,L2,37.0,-0.09791939826546386,0.22030571838206958,0.16112073637464677,0.20095853310456196,0.1492739561970125,157.0,landsat-7,0.05136453821656051,1.6361334019903255,,0.07104718152866242,10.53274570522295,0.00701897306020095,0.08142308917197454,0.07107089490025639
-25.436111,31.982222,21-06-2011,L2,42.0,0.13803532644505404,0.5185057912243929,0.1664808694410445,0.1137654675642595,0.049572770705834344,289.0,landsat-7,0.035646262975778546,2.1538966649756777,,0.0568781660899654,-57.9596997152941,0.2973307744751415,0.052937673010380625,-0.03878994236684567
-25.127778,27.628889,21-06-2011,,,,,,,,,,,,,,,,,
-25.20639,27.558,21-06-2011,,,,,,,,,,,,,,,,,
-24.69514,27.40906,21-06-2011,,,,,,,,,,,,,,,,,
-25.681111,31.783333,21-06-2011,L2,42.0,0.10073261137740051,0.5304694698102849,0.23429654965339353,0.1930201801547638,0.11261145917298082,138.0,landsat-7,0.04965018115942028,2.7222342838233016,,0.08351403985507247,-23.67673242999998,0.20245252788725376,0.09301070652173912,0.05052489358795057
-26.970278,27.211111,21-06-2011,L2,53.0,-0.06714161914396656,0.33189962971999043,0.09674526364014996,0.12308784693877552,0.058213965639316946,539.0,landsat-7,0.031090867346938774,1.4115972050761272,,0.050401071428571434,17.552015618033405,0.37168015007113464,0.04576408163265305,-0.04908241338147026
-26.73806,27.59194,21-06-2011,L2,36.0,-0.14489714675343268,0.13076444883963595,0.013945466481373932,0.06651636293868747,0.034187398987803874,491.0,landsat-7,0.028551379837067205,1.057871215724309,,0.03781859979633401,10.882235467902236,0.3704666133357129,0.03405860488798371,-0.06028850366944701
-34.039722,22.133333,21-06-2011,L2,7.0,0.12395725685865519,0.5067436937886285,0.10740424396760459,0.07434320301411038,0.022297328003673705,567.0,landsat-7,0.010734100529100525,3.357644477407946,,0.01686393298059964,14.621117683174617,0.291738173602415,0.017161049382716044,-0.027707767954380128
-33.38056,19.30167,21-06-2011,L2,7.0,-0.005472274232155079,0.31189278879884813,0.09870693926193802,0.10876752280759432,0.06592616626941727,376.0,landsat-7,0.021325485372340424,1.512320078361787,,0.019026163563829784,7.562637099787255,-0.08802589669865353,0.016751196808510636,-0.08065126185974718
